背番号,選手名,Position,Age
2,Sara Afentáler,Left Back,24
11,Anna Albek,Right Back,23
44,Anna Ballai,Left Wing,22
58,Réka Bordás,Line Player,28
5,Luca Csíkos,Left Back,20
17,Laura Falusi-Udvardi,Right Wing,28
10,Lea Faragó,Left Back,20
26,Luca Faragó,Line Player,23
23,Csenge Réka Fodor,Left Wing,26
88,Vivien Grosch,Right Wing,28
9,Júlia Hársfalvi,Left Wing,28
14,Blanka Kajdon,Centre Back,23
42,Katrin Gitta Klujber,Right Back,26
18,Anett Kovács,Right Wing,30
59,Csenge Kuczora,Centre Back,25
7,Anna Kukely,Left Back,22
19,Gréta Márton,Left Wing,26
84,Eszter Ogonovszky,Left Wing,22
98,Anna Pálffy,Right Wing,21
28,Nikoletta Papp,Right Back,29
32,Noémi Pásztor,Line Player,26
71,Mirtill Petrus,Left Wing,23
29,Rebeka Pödör,Centre Back,24
77,Petra Anna Simon,Centre Back,20
81,Nina Szabó,Centre Back,23
20,Apollónia Szmolek,,23
24,Alexandra Töpfner,Right Wing,29
4,Petra Tóvizi,Line Player,26
38,Petra Vamos,Centre Back,25
3,Emília Varga,Left Back,21
74,Anna Bukovszky,Goalkeeper,23
99,Lili Mónika Herczeg,Goalkeeper,25
61,Kinga Janurik,Goalkeeper,33
31,Zsófi Szemerey,Goalkeeper,31
75,Klára Zaj,Goalkeeper,21
